gt_text,pred_text
本当は二ノ駅なのにその先の三ノ駅までを買いました,本当は2の駅なのにその先の3の駅までを買いました
どもりを隠すために,土もりを隠すために
いろんな人が近づいてきました,いろんな人が近づいてきました
こうしてダウジング棒を持っていくと,こうしてダウジングブウを持っていくと
ふとその喋り方を真似してみました,ふとそのしゃべり方をまねしてみました
お客さんどちらまで,お客さんどちらまで
ニャーオ,ああ
ちぐはぐになってしまいました,ちぐはぐになってしまいました
ペラペラペラペラペラ,ペラペラペラ
繰り返し繰り返し一心不乱に練習しました,繰り返し繰り返し一心不乱に練習しました
するとまたわ身体のどこからかなんだかぶら下がって,それとまた体のどこからか何だかぶら下がって
スラスラスラスラペラペラペラペラ,そろそろそろ
大笑いしましたはっはっはっはっはっ,大笑しました
目の下にクマを作ってこわばった目つきで,目の下にクマを作って怖ばった目つきで
次の瞬間危ない,次の瞬間危ない
おい生きてるか,おい生きてるか
そう難しく考えることはねぇんだよ,難しく考えることはないんだよ
あんたどもりがあったなぁ喋るときにつっかえたり繰り返したり,あんたどんもりがあったなしゃべる時に突っかえたり繰り返したり
顔だけ巣穴から出してる狸みたいにキョロキョロしてるようなやつまで,顔だけ座なから出してるタヌキみたいにキョルキョロしてるようなやつまで
一度切り離された影は二度と戻らねぇよ,一度切り離された影は二度と戻らねえよ
はは半分いやだだだめだめ,はっ…
あんたの喋り方はえー人を自分の世界に巻き込む力がある,あんたのしゃべり方は人を自分の世界に巻き込む力がある
それがあんたにとって最後のチャンスだ,それがあんたにとって最後のチャンスだ
よし取引成立だいいか,よし取引成立だいいか
そうやって聞こえなくても会話することができて,そうやって聞こえなくても会話することができて
タナムと会った時のことを思い出しゃなに,頼むと会った時のことを思い出しては何
その代わり,その代わり
オレはあんたの影をいただいて言葉をいただいていなくなる,俺あんたの影をいただいて言葉をいただいていなくなる
私はこの芯を使ってアート作品を作っています,私はこのシーンを使ってアート作品を作っています
芯には実にいろんな種類があるんですが,市には実にいろんな種類があるんですが
そしてふたつ目は芯の裁断方法が決まっているということです,そして2つ目は真の裁断方法が決まっているということです
最小の大きさが十六分の一分割と決めています,最小の大きさが16分の1分割と決めています
最大は十五メートルから,最大は15メートルから
同じ作品を展示しても見え方や感じ方が変わるようになっています,同じ作品を展示しても見え方や感じ方が変わるようになっています
でデザインの仕事柄私はホームページとかあとチラシなどを作ったりして,デザインの仕事柄私はホームページとかチラシなどを作ったりして
とても違和感を感じていました,とても違和感を感じていました
なにか新しいものとかを作り出せないかなぁと考え始めたんです,何か新しいものとかを作り出せないかなと考え始めたんです
私よりずっと有名な方なんで,私よりずっと有名な方なんで
リンゴが木から落ちるというその自然なことに反応できたのではないでしょうか,リンゴが木から落ちるというその自然なことに反応できたのではないでしょうか
その紙はすごく丈夫なものでできています,その紙はすごく丈夫なものでできています
芯ってなんて完璧なんだろうと思ったんです,シーンってなんて完璧なんだろうと思ったんです
この完璧な芯を使ってなにかできないかなぁと思い始めたんですよ,この完璧なシーンを使って何かできないかなと思い始めたんですよ
そういう作品ってどんなものがあるのかなぁと思って,そういう作品ってどんなものがあるのかなと思って
世界中にひとりもいなかったんです,世界中に一人もいなかったんです
感動したり,感動したり
見れば芯だと分かると思ってたんですね,見れば死んだと分かると思ってたんですね
二千十年にマレーシアのアートフェスティバルに呼ばれたときに,2010年にマレーシアのアートフェスティバルに呼ばれた時に
そしてあとはもう身振り手振りのジェスチャーで,そしてあとはもう身振り手振りのジェスチャーで
先進国であればそう珍しいものではないんですよ,先進国であればそう珍しいものではないんですよ
なんだぁ芯を切って貼ってるだけじゃないか,なんだ芯も切って貼ってるだけじゃないか
教えてくださいと言われたこともあります,教えてくださいと言われたこともあります
ですごくなぜかモヤモヤしちゃったんですね,なぜかもやもやしちゃったんですね
それから私は感動するだけではなくて,それから私は感動するだけではなくて
雑紙とかトイレットペーパーの芯をやっぱリサイクルに出す,雑紙とかトイレットペーパーのシーンをリサイクルに出す
廻ルモノコト,回るもの事
山田さんは特別だから,山田さんは特別だから
一日に三十時間時間があるわけでもありません,1日に30時間時間があるわけでもありません
日々芯を潰して,日々芯を潰して
毎日関心があることとかあと興味があること,毎日関心があることとか興味があること
リンゴが落ちたことに気づかなければ,リンゴが落ちたことに気づかなければ
トイレットペーパー芯リサイクルアートというリンゴを手にしています,トイレットペーパーシンリサイクルアートというリンゴを手にしています
まあ身内ですから明日聞きます,無事ですから明日聞きます
住民によって運営されております,住民によって運営されております
長いですよね十四年です,長いですよね
そして城南町ではまた様々な悩みや,そして城南町ではまたさまざまな悩みや
その方をサポートをしながら問題の解決に当たっています,その方はサポートしながら問題の解決に当たっています
あるいは町内の中にも認知症の方もお見えになります,あるいは町内の中にも認知症の方もお目になります
以前の町内会はこのようなことを取り組んでいませんでした,以前の町内会はこのようなことを取り組んでいませんでした
でも出発することはできませんでした,でも出発することはできませんでした
未だに出発することはできていません,いまだに出発しつころでできていません
そんな私が地域の福祉に関心を持った関心を持ったと言いますか,そんな私が地域の福祉に関心を持ったと言いますか
両隣の方はじめご近所の人の見守りをお願いしていました,領土内の方はじめご近所の人の人をお願いしていました
ひょっとすると皆さんの周りにもそのような方がお見えになるんじゃないでしょうか,ひょっとすると皆さんの周りにもそのような方お面なんじゃないでしょうか
で実際に取り組んでみました,実際に取り組んでみました
そのブロックの中に様々な課題を抱えた人がお見えになります,そのブロックの中にさまざまな課題を抱えた人面になります
そしてその問題を皆んなで話し合いながら,そしてその問題をみんなで話し合いながら
それは私どもが支え合いマップを始めた一つの成果だという風に私は思っています,それは私どもがササイマップを始めた一つの成果だというふうに私は思っています
児童は一生懸命私の話を聞いてくれました,児童は一生懸命私の話を聞いてくれました
認知症は恥ずかしいからご近所に明らかにできない,認知症は恥ずかしいからご近所に明らかにできない
認知症の人をじゃあどうやって探すの,認知症の人をじゃあどうやって探すの
ひょっとしたらそういう地域福祉の問題ってのは,ひょっとしたらそういう地域屈指の問題って
そしてそのような地域福祉の勉強をしている中で,そしてそのような地域育士の勉強をしている中で
女子生徒だったんですねまっ,女性とはですね
自分の気持ちの中でそんなのがあったんですよ,自分の気持ちの中にそんなあったんですよ
そして高齢者と共に一緒に食事をしながら会話をする,そして高齢者とともに一緒に職業しながら会話をする
しかし子どもたちは実際に自分たちで振舞って高齢者と話をすることで,しかし子どもたちは実際に自分たちで振る舞って高齢者と話をすることで
そしたらやりますやらせて下さいということで,そしたらやりますやらせてくださいということで
子どもが参加すれば親も参加します,子どもを参加すれば親も参加します
存在になるだろうという風に,存在になるだろうって
今町内会を引き継いでくれる若い人です,今、町内会を引き継いでくれる若い人です
しかし私たちがやって来たことをその若い人に押し付けるんではなく,しかし私たちがやってきたことをその若い人に押しつけるんではなく
考えていきたいと思います,考えていきたいと思います
そういったプロセスまで進んだことがありますか,そういったプロセスまで進んだことがありますか
なんか映画のように素晴らしいものとして見て,映画のように素晴らしいものとして見て
私が大学でプレゼンテーションに関する,私が大学でプレゼンテーションに関して
ここに来なかった人たちが,ここに来なかった人たちが
大病を患い生死を彷徨いました,大病を患い、精子をさまよいました
ところがある友人が,ところがある友人が
非常に楽しんでいるんですね,非常に楽しんでいるんですね
傍観者を気取っていました,傍観者を気取っていました
ぜひ皆さん山の山頂で,ぜひ皆さん山の山頂で
これまで私アイロンかけたことなかったんです,これまでアイロンかけたことなかったんです
その書籍も買い求め,その書籍も買い求め
私は元々スキーのレーサーです,私はもともとスキーのレーサーです
ここで少しスピードをあげたりして,ここで少しスピードを上げたりして
沖縄ではアロハシャツ,沖縄ではアロハシャツ
この時にはちょっとアイロンがおっきくなってます,この時にはちょっとアイロンが大きくなってます
非常に美しい景色の中で美しいものに心打たれながら,非常に美しい景色の中で美しいものに心を打たれながら
アイロン掛けているヤツは世の中にいないだろうと思い,アイロンかけているやつは世の中にいないだろうと思い
無知っていうのは怖いです,ムチっていうのは怖いです
心の冷静さを試すんだそうです,心の冷静さを試すんだそうです
ばかばかしさの理解,バカバカしさの理解
山にのぼったり,山に登ったり
この脚を分解し自作をしました,この足を分解し自作をしました
あれ何してるんですかいやどう見てもアイロンでしょうっていう,あれ何してるんですか?いやどう見てもアイロンでしょうっていう
笑顔として伝染させることに気づいたんです,笑顔として伝染させることに気づいたんです
これつまり心のシワを伸ばしてるんですね,これつまり心のシワを伸ばしてるんですね
スキーをしながらアイロンを掛ける,スキーをしながらアイロンをかける
アイロンもかなり大きいです,アイロンもかなり大きいです
試しに行ってみたいと思いました,試しに行ってみたいと思いました
なかなかみんなは最初のってくれませんでした,なかなかみんなは最初乗ってくれませんでした
こういった大きな発見を得ました,こういった大きな発見を得ました
内的な要素から浮かび上がるモチベーション,内的な要素から浮かび上がるモチベーション
こういった思いがあれば,こういった思いがあれば
ここでまさにプレゼンテーションと同じ共感が生まれたんです,ここでまさにプレゼンテーションと同じ共感が生まれたんです
これは滝の裏側です,これは滝の裏側です
そして自分の心に正直に向き合う,そして自分の心に正直に向き合う
中には裸で,中には裸で
ここでひとつ実験をしてみました,ここで一つ実験をしてみました
もうまなかなかここまでやってですね,なかなかここまでやってですね
そこで実験二です,そこで実験2です
私の友人はノリノリでした,私の友人はノリノリでした
ここ彼が自分の心の壁を崩し越えた瞬間です,ここ彼が自分の心の壁を崩し越えた瞬間です
非常にバカバカしいんですが,非常にバカバカしいんですが
外人はすぐ声かけてくれますそれ何やってんの,外人はすぐ声をかけてくれます。そういうのによってんの
これは先々週行ったモンサンミッシェルです,これは先々週行ったモンサン・ミッシェルです
解放されているという気分になってくるんです,解放されているという気分になってくるんです
アイロンがなくてもエクストリームでなければいけないんですね,アイロンがなくてもエクストリームでなければいけないんです
観光客がたくさん声をかけてくれます,観光客がたくさん声をかけてくれます
これを体感することができたんです,これを体感することができたんです
本当に心が無になるんですね,本当に心がムーになるんですね
このアイロン,このアイロン
ただのアイロンなんですけどね,ただのアイロンなんですけどね
目尻の笑顔のシワに変わっていくんです,目尻の笑顔のシワに変わっていくんです
こういった行為が,こういった行為が
あの第一人者といわれてます,第一印者と言われてます
彼もこういった固定概念を,彼もこういった固定会の
人を動かすんではないんです,人を動かすんではないんです
気付かせてくれたことを心から感謝したいと思い,気づかせてくれたことを心から感謝したいと思い
薬の名をも,薬の名をも
友に逢うぞ嬉しき,ともにおうぞうれしき
えー僕は能楽師という仕事をしています,僕は農学士という仕事をしています
よく友達にお能ってなんなんとか,よく友達におのうって何なんとか
こういうイメージを持っている人たちがあー多いと思います,こういうイメージを持っている人たちが多いと思います
えーそれはですね自分とのつながりを見つけるということです,それは自分とのつながりを見つけるということです
能は日本の仮面劇です,能話日本の仮面劇です
えーこの女性は平安時代のお化粧をしています,この女性は平安時代のお化粧をしています
このように下の方を向けて行って,このように下の方を向けていって
井筒という曲の中でえー登場する女性は,伊豆津という曲の中で登場する女性は
徒なりと名にこそ立てれ,あだなりとなにこそたてれ
かやうに詠みしも,かように読みしも
能面に礼儀を尽くして扱うというその心が,能面に礼儀を尽くして扱うというその心が
はいちょっとマイクがあれですけども,ちょっとマイクがあれですけども
腰を落として摺り足をすることになります,腰を落としてすり足をすることになります
旋回運動の舞いになります,旋回運動の満員になります
お酒を飲むことができます,お酒を飲むことができます
というような感じになるわけですね,というような感じになるわけですね
幽玄と想像力が合わさったときには,有言と想像力が合わさった時には
清水寺から春の京都を眺めるというシーンです,清水寺から春の京都を眺めるというシーンです
花やあらん,この世論
えー九尾の狐を追って行くんですけれども,急尾のキツネを追っていくんですけれども
現れ出でしを狩人の,現れいでしを借り人の
だんだん興味が湧いてきましたでしょうか,だんだん興味が湧いてきましたでしょうか
想像力というのは人の心を豊かにします,想像力というのは人の心を豊かにします
今を生きている芸能です,今を生きている芸能です
皆さんこの二つの缶,皆さんこの2つの缶
私の家では誕生日にパパがケーキを作ってくれていました,私の家では誕生日にパパがケーキを作ってくれていました
今では家族や友達に色々な料理を作っています,今では家族や友達にいろいろな料理を作っています
家族や友達が喜んでくれるのが嬉しいです,家族や友達が喜んでくれるのが嬉しいです
なんとか簡単にできる方法はないかなと思い,なんとか簡単にできる方法はないかなと思い
分別するのにはこれが使えるとひらめきました,分別するのにはこれが使えるとひらめきました
パパが今の動き面白いねと言いました,パパが今の動き面白いねと言いました
空き缶をここに入れて行きます,空き缶をここに入れていきます
ではやってみます,ではやってみます
ここが一番実験を重ねそして楽しかったところです,ここが一番実験を重ねそして楽しかったところです
スチール缶は右側に落ちました,スチール缶は右側に落ちました
今度はスチール缶が磁石にくっついて止まってしまいました,今度はスチール缶が磁石にくっついて止まってしまいました
スチール缶はましあー右側に落ちるようになりました,スチール感は右側に落ちるようになりました
思いついたアイディアは全部やりました,思いついたアイデアは全部やりました
このゴミ箱は思いついてからすぐにできた訳ではありません,このゴミ箱は思いついてからすぐにできたわけではありません
形にして行きました,形にしていきました
ひらめきは遊びの中にあります,ひらめきは遊びの中にあります
これが一番大切なことだと思います,これが一番大切なことだと思います
ジャックの豆いやいやジャックと豆の木ですねみなさんご存知の,ジャックの豆の木ですね皆さんご存じの
安くて宇宙に行くことができるようになったとすれば,安くて宇宙に行くことができるようになったとすれば
どうでしょう,どうでしょう
さすがに宇宙までですねタワーを立てるというのは不可能ですので,さすがに宇宙までタワーを立てるというのは不可能ですので
そういったものになります,そういったものになります
ではあーこの宇宙エレベーターの構成について,ではこの宇宙エレベーターの構成について
そのおーえー静止軌道というのは,その静止軌道というのは
それを落ちてこないようにするためにはこのステーションの外側に,それを落ちてこないようにするためにはこのステーションの外側に
アンカー重りですね,アンカーお無理ですね
十万キロというとこれは月までの距離のおよそ四分の一,10万キロというとこれは月までの距離のおよそ4分の1
従って宇宙エレベーターってえー不可能だねというふうに思われていたんですけれども,したがて宇宙エレベーターって不可能だねというふうに思われていたんですけれども
でそのチューブの直径は数から数十ナノメーター,そのチューブの直径は数から数十ナノメーター
まー二十年ぐらい前から,20年ぐらい前から
ケーブルに沿って何度でもですねえー荷物を輸送することができます,ケーブルに沿って何度でも荷物を輸送することができます
百分の一ぐらいになるというのはどれくらいかというと,100分の1ぐらいになるというのはどれぐらいかというと
えー一般の人でも手の届くうー金額かと思います,一般の人でも手の届く金額かと思います
従っていろんな分野で,したがっていろんな分野で
新東名はあー全線開通に建設期間がだいたい二十五年,新東名は前線開通に建設機関が大体25年
まだ二十年ぐらいしか経ってません二十年も経ってないんですね,まだ20年ぐらいしか経っていません20年も経ってないんですね
これがどういう風に動いてどういう力が掛かるか,これがどういうふうに動いてどういう力がかかるか
これを通じてですねえーそのどういう構造にすればいいか,これを通じてどういう構造にすればいい
えーまたこういう競技会をね実際に見られると,またこういう教育会はね実際に見られると
羽衣によって天まで昇っていくといういわゆる羽衣伝説ですね,箱の門によって天まで登っていくといういわゆる箱の門伝説です
先ほどあの宇宙エレベーターを作るとき,先ほど宇宙エレベントを作ると
えー小さな衛星で確かめてみようというですねそういう試みです,小さな衛星で確かめてみようというですねそういう試みです
これを確かめようという衛星ですね,これを確かめようというエースですね
現実味がないなぁという風に思っていました,現実味がないなというふうに思っていました
それから宇宙テザーというですね,それから宇宙テザーというですね
実は宇宙エレベーターのケーブルこれがまさにこのテザーなんですね,実は宇宙エレベーターのケーブルこれがまさにこのテーザーなんですね
非常に憧れていたですね宇宙エレベーターというですねそういう研究に通じてくる,非常に憧れていたですね宇宙エレベーターというですねそういう研究に通じてくる
更にはあー宇宙エレベーターは国際協力が必要な非常に大きな巨大な事業です,さらには宇宙エレベーターは国際協力が必要な非常に大きな巨大な事業です
恐らくうー我々私も含めてえー今この中高年の人たちが,おそらく私も含めて今この中高年の人たちが
そういった完成に立ち会える可能性は十分あります,そういった感染に立ち会える可能性が十分あります
現在はですねなかなかあー夢を追いかけるというのが難しいいー時代ですけれども,現在はですねなかなか夢を追いかけるというのが難しい時代ですけれども
じゃあそういう宇宙エレベーターができたらどんな世界になるのかな,じゃあそういう内エレベーターで来たらどんな世界になるの
それをサイエンスファクトにしていく,それをサインスファクトにしていく
自動運転車を当たり前のものとして広めていきたいと考え取り組んでいます,自動運転車を当たり前のものとして広めていきたいと考え取り組んでいます
いよいよ実用化へという段階にきています,いよいよ実用化へという段階に来ています
このように現在実証実験を進めている状況ですが,このように現在実証実験を進めている状況ですが
なんと現状では地方のバス会社の八割以上が赤字なんです,なんと現状では地方のバス会社の8割以上が赤字なんです
こういった現場で実際に課題を目にした時の気持ちが,こういった現場で実際に課題を目にした時の気持ちが
今思い返してみると自動運転車の発想に近いですよね,今思い返してみると自動運転車の発想に近いですよね
そんなインターネットの力を利用すれば,そんなインターネットの力を利用すれば
世の中は身の回りのあらゆるものがインターネットに繋がる,世の中は身の回りのあらゆるものがインターネットにつながる
ど真ん中のポジションにいることができて本当に面白いと感じています,ど真ん中のポジションにいることができて本当に面白いと感じています
どこでも行ける自動運転車ではないでしょうか,どこでも行ける自動運転車ではないでしょうか
そこで我々は決まったルートを走る自動運転のバスを公共交通として使うことで,そこで我々は決まったルートを走る自動運転のバスを公共交通として使うことで
持続可能なサービスとは,持続可能なサービスとは?
そう考えています,そう考えています
バス停で乗り降りするお客さんを確認したり,バス停で乗り降りするお客さんを確認したり
走行中の車内を移動する人を自動で検知し運転を制御します,走行中の車内を移動する人を自動で検知し運転を制御します
ということでここまで紹介した自動運転の実用化を早めるポイントを整理すると,ということでここまで紹介した自動運転の実用化を早めるポイントを整理すると
これらの三つです,これらの3つです
えー皆さんは携帯電話会社を選ぶ時に通信技術の高さで選びますか,皆さんは携帯電話会社を選ぶ時に通信技術の高さで選びますか
時には格安の端末を用意したり,時には格安の端末を用意したり
世の中に普及した自動運転車は,世の中に普及した自動運転車は
案内された場所に実際に行く判断をして行動するのは人間でした,案内された場所に実際に行く判断をして行動するのは人間でした
もっともっと広がる面白い世界になるはずです,もっともっと広がる面白い世界になるはずです
道路では歩く人やバス大型トラックなどが行き交う,道路では歩く人やバス、大型トラックなどが
自動運転車を自在に呼び寄せることができる,自動運転車を自在に呼び寄せることができる
しかもお店が運賃を負担してくれてゼロ円になることもある,しかもお店が運賃を負担してくれて0円になることもある
自分が世界を変えるんだ自分が世界の最前線なんだと,自分が世界を変えるんだ自分が世界の最前線なんだと
そのためにはインターネットの如く,そのためにはインターネットのごとく
みなさんは今日帰る家がありますか,皆さんは今日帰る家がありますか
第二次世界大戦以降最悪と言われています,第二次世界大戦以降最悪と言われています
ほとんどありませんが,ほとんどありませんが
手がかりにしたいと思います,手がかりにしたいと思います
帰る家や場所がなくなるようなものなんです,帰る家や場所がなくなるようなものなんです
イメージしやすくなるかもしれません,イメージしやすくなるかもしれません
難民ナウというラジオ番組について話します,難民なうというラジオ番組について話します
でその難民が発生した背景を理解することで,その波が発生した背景を理解することで
難民と聞くと,難民と聞くと
でも難民ナウというのは,でも難民になるというのは
私自身の経験に深く結びついています,私自身の経験に深く結びついています
母親は大きな借金を背負って,母親は大きな借金を背負って
二千三年のある日一枚のチラシがきっかけになって,2003年のある日1枚のチラシがきっかけになって
自分にもできることがしたいと思うようになりました,自分にもできることがしたいと思うようになりました
この二つのキーワードから,この2つのキーワードから
言葉の壁やさまざまな困難に直面していることを知りました,言葉の壁やさまざまな困難に直面していることを知りました
そして幸せな人生を送って欲しい,そして幸せな人生を送ってほしい
難民が直面する困難は本当にさまざまですが,難民が直面する困難は本当にさまざまですが
そんなふうに感じています,そんなふうに感じています
私は番組を始めるまで,私は番組を始めるまで
ビジネスに取り組んでいる人がいます,ビジネスに取り組んでいる人がいます
大きく変えるものでした,大きく変えるものでした
その言葉の向こう側にある,その言葉の向こう側にある
友達の大切な故郷に変わります,友達の大切なふるさとに変わります
そういった意味においても,そういった意味においても
まず難民問題を知って欲しいというメッセージを残しました,まず難民問題を知ってほしいというメッセージを残しました
私は十二年前にこのチラシを手にしたことで,私は12年前にこのチラシを手にしたことで
どうすれば伝わるのかというところから見直すと,どうすれば伝わるのかというとこから見直すと
今全国の大学生と一緒になって,今全国の大学生と一緒になって
最近になってシリアから返事が届くようになってきました,最近になってシリアから返事が届くようになってきました
現地の人たちとの小さな励みになっていると聞きました,原始の人たちとの小さな励みになっていると聞きました
認定されたのが十一人でした,認定されたのは11人でした
と問われているんだと思います,と問われているんだと思います
だからこそ遠くのぼんやりとした悲しみである難民問題を,だからこそ遠くのぼんやりとした悲しみである難民問題を
それが難民問題に大きな変化をもたらすと,それが難民問題に大きな変化をもたらすと
悩みという言葉を聞いたら,悩みという言葉を聞いたら
僕は小さい頃お母さんが好きお父さんが好き,僕は小さい頃お母さんが好きお父さんが好き
でもそれ以上に僕を困らせてきた質問があります,でもそれ以上に僕を困らせてきた質問があります
韓国人の父と日本人の母の間で生まれました,韓国人の父と日本人の母の間で生まれました
僕が初めて学んだ言葉も中国語であり,僕は初めて学んだ言葉も中国語であり
自分の母国語である韓国語と日本語は全然そうしゃべれなかったのです,自分の母国語である韓国と日本語は全然そうしゃべれなかったのです
そして何か属していないような気分がしました,そして何か属していないような気分がしました
見た目の違いや言葉の不自由さによって差別をされることが問題視されていて,見た目の違いや言葉の不自由さによって差別をされることが問題視されていて
学校でイジメられてないかと長々と質問を受けまくりました,学校でいじめられてないかと長々と質問を受けまくりました
ちゃんと韓国で教育を受けたことのなかった僕が,ちゃんと韓国で教育を受けたことはなかった僕が
このようなことを聞きました,このようなことを聞きました
普通の韓国の学生に頑張ってなろうとしていたのです,普通の韓国の学生に頑張ってなろうとしていたのです
日本に行ってみようじゃないかと思い始めました,日本に行ってみようじゃないかと思い始めました
やっぱり普通の日本人に僕がなることもまできないよなと思いました,やっぱり普通の日本人に僕がなることもできないようなと思いました
僕と似たような日本国籍は持っているが海外で育った,僕と似たような日本国好きを持っているが海外で育った
何人かを問われた時はあっ僕は東アジア人ですと答えていました,何人かを問われた時は僕は東アジア人ですと答えていました
満二十二歳になる前までに,万22歳になる前までに
ちょうどその頃韓国は国籍法が変わって二重国籍を認めるようになりましたが,ちょうどその頃韓国は国籍法が変わって二重国籍を認めるようになりましたが
そして日本では日本で二重国籍は認めないと,そして日本では日本で二重国籍は認めないと
自分がやっと夢だと思っていた国際公務員にもなれないってことを知りました,自分がやっと夢だと思っていた国際公務員にもなれないということを知りました
僕はたくさん悩んだ中,僕はたくさん悩んだ中
こんな悩みなんか人に言ってもわかってくれないでしょうと思ってしまったり,こんな悩みなんか人によっても分かってくれないでしょうと思ってしまったり
無国籍者とは国籍をというステータスを持っていない,無国籍者と国籍用というステータスを持っていない
図書館で偶然手に取ったこの無国籍という本を通じて知ることになりました,図書館で偶然手に取ったこの無国籍という本を通じて知ることになりました
無国籍のストーリーテリングを行いこの問題を知らせていったり,無国籍のストーリーテイリングを行いこの問題を知らせていったり
扱われてしまったりする境遇の中にいる人たちと出会うことができました,扱われてしまったりする境遇の中にいる人たちと出会うことができました
しかし彼はこう言いました,しかし彼はこう言いました
なにかしみじみと心の中に入ってきました,何かしみじみと心の中に入ってきました
たとえ周りが望む答えに応えられなくても,たとえ周りが望む答えに答えられなくても
大学三年生の頃僕は香港に留学をしていたのですが,大学3年生の頃、香港に留学をしていたのですが
自分が生まれ育ったこの香港を大切に思う,自分が生まれ育ったこの香港を大切に思う
僕は彼と生まれ育った場所も違うので,僕は彼と生まれ育った場所も違うんで
このように悩みに必死に向き合っている人たちがいるだろうなと思い,このように悩みに必死に向き合っている人たちがいるだろうなと思い
ワンヤングワールドというサミットに参加でるできる機会がありました,ワン・ヤングワールドというサミットに参加できる機会がありました
恵まれてない環境で生まれたと馬鹿にされ続けたが,恵まれてない環境で生まれたとバカにされ続けたが
それぞれ異なるバックグラウンドの中異なる点も確かにたくさんありましたが,それぞれ異なるバックグラウンドの中、異なる点も確かにたくさんありましたが、
そしてその悩みに向き合っていることで,そしてその悩みに向き合っていることで
まず自分の悩みに向き合うことで,まず自分の悩みに向き合うことで
その悩みというものがどんな小さな悩みでも,その悩みというものがどんな小さな悩みでも
私はいじめ問題を扱う弁護士です,私はいじめ問題を扱う弁護士です
ご縁があっていじめに関わるようになりました,ご縁があっていじめに関わるようになりました
その弁護士がとても格好良く輝いて見えて,その弁護士がとてもかっこよく輝いて見えて
真っすぐと正しい事が言える弁護士になりたいと思っていましたし,まっすぐと正しいことが言える弁護士になりたいと思っていましたし
それはとてもドラマティックにとてもセンセーショナルに,それはとてもドラマティックにとてもセンセーショナルに
これは私にとってあまりに当たり前の事であったため,これは私にとってあまりに当たり前のことであったんだね
中高生向けにいじめに関する授業を作ろうと思いました,中高生向けにいじめに関する授業を作ろうと思いました
そして学校に来たくなくなってしまうというものです,そして学校に行きたくなくなってしまうというものです
クラス全員から無視された訳でもない,クラス全員から無視されたわけでもない
